frame,track_id,event,det_x1,det_y1,det_x2,det_y2,confidence,source,zone,state,missed_frames,pred_cx,pred_cy,actual_cx,actual_cy,distance_error,scale_ratio,track_identity_confidence,matched_track_id,association_cost
5,3,MATCHED,914.6,273.4,923.5,292.0,0.934,NONE,FAR,Confirmed,0,919.0,283.1,919.0,282.7,0.40,1.00,0.90,1,-0.052
5,4,MATCHED,103.5,436.3,132.1,473.5,0.723,NONE,MEDIUM,Confirmed,0,116.9,455.1,117.8,454.9,0.91,1.00,0.80,5,0.278
5,5,MATCHED,711.2,402.7,737.1,441.9,0.638,NONE,MEDIUM,Confirmed,0,724.2,422.2,724.1,422.3,0.13,1.00,0.90,9,0.015
5,6,MATCHED,645.8,403.2,673.9,441.0,0.600,NONE,MEDIUM,Confirmed,0,659.8,421.8,659.8,422.1,0.36,1.00,0.90,10,0.002
5,7,MATCHED,826.1,379.0,849.8,415.5,0.792,NONE,MEDIUM,Confirmed,0,838.0,397.5,837.9,397.3,0.25,1.00,0.90,4,-0.004
5,8,MATCHED,860.4,396.9,881.0,432.2,0.667,NONE,MEDIUM,Confirmed,0,870.6,414.5,870.7,414.6,0.15,1.00,0.90,8,-0.017
5,10,MATCHED,856.9,312.9,871.4,335.8,0.990,NONE,MEDIUM,Confirmed,0,864.0,323.9,864.1,324.3,0.47,1.00,0.90,0,-0.059
5,11,MATCHED,435.8,332.5,451.2,349.1,0.899,NONE,MEDIUM,Confirmed,0,443.4,341.5,443.5,340.8,0.73,1.00,0.90,3,0.008
5,14,MATCHED,301.1,364.2,311.6,376.8,0.279,NONE,MEDIUM,Confirmed,0,305.2,370.7,306.4,370.5,1.18,1.00,0.80,16,0.238
5,15,MISSED,0.0,0.0,0.0,0.0,0.482,NONE,NEAR,Candidate,2,7.3,504.7,7.3,504.7,0.00,1.00,0.40,-1,0.000
5,16,MISSED,0.0,0.0,0.0,0.0,0.351,NONE,MEDIUM,Candidate,2,378.0,312.1,378.0,312.1,0.00,1.00,0.40,-1,0.000
5,17,MATCHED,252.2,372.2,275.3,403.4,0.517,NONE,MEDIUM,Confirmed,0,261.8,388.7,263.8,387.8,2.14,1.00,0.70,12,0.205
5,18,MISSED,0.0,0.0,0.0,0.0,0.274,NONE,MEDIUM,Candidate,2,931.9,309.0,931.9,309.0,0.00,1.16,0.40,-1,0.000
5,19,NEW,0.0,0.0,0.0,0.0,0.327,NONE,MEDIUM,Candidate,0,636.2,314.2,636.2,314.2,0.00,1.00,0.50,-1,0.000
6,1,LOST,0.0,0.0,0.0,0.0,0.915,NONE,MEDIUM,Lost,1,403.4,344.8,403.4,344.8,0.00,1.04,0.85,-1,0.004
6,2,MATCHED,814.0,569.0,854.9,641.4,0.667,NONE,NEAR,Confirmed,0,834.0,605.0,834.4,605.2,0.43,1.00,1.00,8,0.098
6,3,LOST,0.0,0.0,0.0,0.0,0.934,NONE,FAR,Lost,1,918.2,283.6,918.2,283.6,0.00,1.02,0.85,-1,-0.052
6,4,LOST,0.0,0.0,0.0,0.0,0.723,NONE,MEDIUM,Lost,1,131.8,450.5,131.8,450.5,0.00,1.05,0.75,-1,0.278
6,5,MATCHED,710.2,409.5,735.4,447.5,0.712,NONE,MEDIUM,Confirmed,0,722.8,428.0,722.8,428.5,0.43,1.00,1.00,5,-0.013
6,6,MATCHED,645.1,406.1,672.0,446.1,0.712,NONE,MEDIUM,Confirmed,0,658.5,425.8,658.6,426.1,0.29,1.00,1.00,6,-0.003
6,7,MATCHED,826.7,381.5,849.1,418.2,0.575,NONE,MEDIUM,Confirmed,0,837.8,400.0,837.9,399.8,0.21,1.00,1.00,12,-0.019
6,8,MATCHED,860.7,400.3,880.8,436.5,0.588,NONE,MEDIUM,Confirmed,0,870.5,418.3,870.8,418.4,0.30,1.00,1.00,10,-0.008
6,10,MATCHED,856.6,314.8,870.1,337.7,0.990,NONE,MEDIUM,Confirmed,0,863.0,325.9,863.3,326.2,0.50,1.00,1.00,1,-0.037
6,11,LOST,0.0,0.0,0.0,0.0,0.899,NONE,MEDIUM,Lost,1,447.4,341.4,447.4,341.4,0.00,1.07,0.85,-1,0.008
6,14,MATCHED,305.9,359.3,320.7,379.6,0.556,NONE,MEDIUM,Confirmed,0,312.3,369.6,313.3,369.5,1.05,1.00,0.80,14,0.231
6,17,MATCHED,257.1,371.3,280.5,401.6,0.584,NONE,MEDIUM,Confirmed,0,267.6,386.6,268.8,386.4,1.22,1.00,0.80,11,0.122
6,19,MISSED,0.0,0.0,0.0,0.0,0.327,NONE,MEDIUM,Candidate,1,636.2,314.2,636.2,314.2,0.00,1.00,0.45,-1,0.000
7,1,RECOVERED,398.8,328.0,416.0,352.1,0.797,NONE,MEDIUM,Confirmed,0,407.0,341.4,407.4,340.1,1.42,1.00,0.95,3,0.177
7,2,LOST,0.0,0.0,0.0,0.0,0.667,NONE,NEAR,Lost,1,835.4,616.7,835.4,616.7,0.00,1.02,0.95,-1,0.098
